,subject_1,subject_2,subject_3,gender
369,91,93,44,1
370,76,70,85,1
371,9,66,39,1
372,42,53,23,0
373,43,14,82,1
374,43,13,83,1
375,11,78,13,0
376,22,55,74,1
377,15,24,34,0
378,99,91,57,1
379,25,30,89,1
380,82,27,39,1
381,70,84,68,1
382,79,54,77,1
383,30,85,21,1
384,64,95,44,1
385,74,56,27,1
386,36,5,85,1
387,9,17,43,0
388,54,31,49,1
389,49,23,72,1
390,53,88,77,1
391,75,35,1,0
392,15,20,88,1
393,55,42,13,0
394,79,6,43,0
395,35,32,17,0
396,34,93,85,1
397,66,80,63,1
398,90,48,40,1
399,72,52,75,1
400,78,65,75,1
401,82,41,67,1
402,67,10,86,1
403,82,77,22,1
404,55,22,92,1
405,34,91,70,1
406,41,74,9,0
407,92,65,80,1
408,90,63,92,1
409,8,72,47,1
410,62,60,17,1
411,77,10,99,1
412,35,61,15,0
413,88,92,71,1
414,61,51,34,1
415,5,73,41,1
416,42,98,33,1
417,79,77,80,1
418,58,15,94,1
419,14,31,28,0
420,23,47,42,1
421,87,58,8,1
422,98,29,75,1
423,32,13,28,0
424,51,28,50,1
425,69,51,53,1
426,90,30,67,1
427,98,98,56,1
428,73,19,92,1
429,12,84,2,0
430,73,66,28,1
431,1,78,98,1
432,12,66,65,1
433,83,94,13,1
434,73,38,97,1
435,99,19,75,1
436,28,68,79,1
437,21,88,32,1
438,11,2,86,1
439,73,53,32,1
440,34,81,16,1
441,94,2,19,0
442,25,93,89,1
443,99,49,35,1
444,26,91,14,1
445,89,9,65,1
446,88,49,59,1
447,57,94,12,1
448,37,5,65,1
449,4,92,84,1
450,22,88,25,1
451,37,65,22,1
452,76,21,2,0
453,14,33,78,1
454,13,53,77,1
455,6,45,27,0
456,39,24,80,1
457,37,13,17,0
458,91,80,33,1
459,3,54,97,1
460,4,30,34,0
461,47,76,40,1
462,64,19,1,0
463,17,30,6,0
464,23,2,12,0
465,80,17,12,0
466,62,20,29,0
467,67,96,19,1
468,4,19,64,1
469,69,10,16,0
470,20,39,2,0
471,33,36,64,1
472,11,78,20,1
473,41,74,97,1
474,60,53,51,1
475,88,38,56,1
476,7,28,68,1
477,79,58,43,1
478,23,83,3,0
479,56,36,3,0
480,14,25,97,1
481,84,63,25,1
482,28,15,37,0
483,2,89,86,1
484,23,83,97,1
485,23,16,2,0
486,45,59,36,1
487,67,62,26,1
488,50,81,35,1
489,70,17,32,0
490,83,96,96,1
491,50,38,74,1
492,18,46,64,1
493,29,46,46,1
494,69,21,37,1
495,83,17,73,1
496,1,67,94,1
497,49,34,56,1
498,41,98,16,1
499,86,21,14,0
500,38,86,23,1
501,58,11,19,0
502,63,58,79,1
503,38,93,90,1
504,91,22,30,1
505,68,9,88,1
506,75,17,26,0
507,72,89,33,1
508,7,51,8,0
509,71,94,33,1
510,84,49,50,1
511,86,56,68,1
512,82,49,70,1
513,77,62,74,1
514,33,41,35,0
515,51,43,88,1
516,9,58,49,1
517,99,71,31,1
518,20,66,68,1
519,44,73,19,1
520,77,12,79,1
521,63,91,21,1
522,41,17,74,1
523,82,5,39,0
524,34,45,4,0
525,72,62,9,1
526,62,75,92,1
527,57,33,19,0
528,79,21,63,1
529,49,96,12,1
530,38,54,28,1
531,53,49,12,0
532,81,40,71,1
533,28,94,63,1
534,88,58,62,1
535,13,94,34,1
536,16,66,44,1
537,75,10,47,1
538,78,18,96,1
539,10,63,98,1
540,82,57,99,1
541,54,42,49,1
542,97,32,70,1
543,21,38,75,1
544,33,41,40,1
545,78,13,57,1
546,35,13,13,0
547,36,2,26,0
548,32,61,61,1
549,57,49,6,0
550,24,89,80,1
551,62,75,14,1
552,35,70,98,1
553,5,26,48,0
554,9,33,5,0
555,75,11,90,1
556,89,12,57,1
557,43,69,38,1
558,37,7,20,0
559,63,16,39,0
560,23,98,32,1
561,5,24,28,0
562,37,38,93,1
563,33,86,19,1
564,72,34,66,1
565,70,27,92,1
566,38,17,79,1
567,37,79,70,1
568,67,79,69,1
569,8,27,72,1
570,46,31,29,0
571,96,6,17,0
572,71,52,23,1
573,62,43,87,1
574,69,39,22,0
575,46,2,99,1
576,17,84,17,1
577,80,76,80,1
578,97,2,99,1
579,46,85,78,1
580,90,3,26,0
581,38,87,48,1
582,81,80,25,1
583,60,95,9,1
584,58,37,59,1
585,1,92,59,1
586,40,52,27,1
587,62,68,66,1
588,73,86,79,1
589,40,2,30,0
590,96,52,44,1
591,76,41,83,1
592,48,58,75,1
593,15,50,1,0
594,40,67,96,1
595,70,21,20,0
596,57,33,63,1
597,19,98,40,1
598,73,18,31,0
599,22,15,56,0
600,68,81,80,1
601,56,43,15,0
602,14,87,66,1
603,3,10,85,1
604,27,33,86,1
605,11,17,2,0
606,1,41,67,1
607,59,38,18,0
608,41,29,31,0
609,97,58,84,1
610,92,85,77,1
611,31,4,92,1
612,55,6,83,1
613,1,87,63,1
614,79,13,89,1
615,1,34,44,0
616,49,98,23,1
617,72,25,44,1
618,97,90,23,1
619,15,68,88,1
620,89,35,4,0
621,4,9,57,0
622,71,95,21,1
623,18,70,15,0
624,72,96,98,1
625,55,36,31,0
626,61,58,92,1
627,44,86,99,1
628,73,48,47,1
629,41,6,79,1
630,33,45,99,1
631,76,39,36,1
632,8,40,46,1
633,21,83,19,1
634,48,61,50,1
635,38,78,2,0
636,50,32,30,0
637,55,43,53,1
638,21,36,62,1
639,19,70,77,1
640,31,46,9,0
641,49,46,67,1
642,31,99,5,1
643,48,72,4,0
644,15,32,99,1
645,84,16,68,1
646,36,26,5,0
647,72,82,44,1
648,71,30,71,1
649,27,91,73,1
650,71,27,86,1
651,42,95,11,1
652,19,75,38,1
653,21,31,52,1
654,44,35,3,0
655,69,97,14,1
656,90,76,72,1
657,49,56,51,1
658,92,88,74,1
659,3,80,8,0
660,65,5,72,1
661,33,66,82,1
662,49,12,42,0
663,63,97,88,1
664,15,29,13,0
665,12,56,6,0
666,34,81,42,1
667,64,74,71,1
668,27,83,18,1
669,18,63,29,1
670,17,24,32,0
671,6,56,8,0
672,62,26,63,1
673,35,48,26,0
674,61,46,84,1
675,39,13,63,1
676,98,93,30,1
677,85,3,31,0
678,24,99,31,1
679,30,48,26,0
680,84,59,37,1
681,30,1,51,0
682,68,73,36,1
683,28,21,47,0
684,93,4,92,1
685,84,99,36,1
686,99,86,1,1
687,56,11,98,1
688,48,2,41,0
689,58,29,9,0
690,71,59,13,1
691,10,74,67,1
692,69,66,14,1
693,79,37,69,1
694,88,76,27,1
695,64,32,80,1
696,74,90,89,1
697,76,96,27,1
698,59,8,74,1
699,20,48,54,1
700,15,72,69,1
701,18,87,13,1
702,58,18,8,0
703,76,92,17,1
704,29,50,90,1
705,98,62,87,1
706,58,39,17,0
707,61,9,39,0
708,34,50,82,1
709,44,73,78,1
710,22,58,84,1
711,30,35,2,0
712,90,91,38,1
713,12,70,23,1
714,6,53,22,0
715,99,2,98,1
716,51,95,91,1
717,54,82,89,1
718,8,16,31,0
719,82,74,51,1
720,4,62,84,1
721,98,75,55,1
722,60,70,50,1
723,74,51,44,1
724,38,53,2,0
725,71,72,92,1
726,47,79,90,1
727,56,23,7,0
728,59,99,75,1
729,87,91,37,1
730,56,99,29,1
731,60,40,48,1
732,77,58,59,1
733,28,82,62,1
734,7,82,74,1
735,7,58,40,1
736,87,63,87,1
737,33,66,31,1
738,98,23,65,1
739,2,73,75,1
740,11,60,90,1
741,75,27,80,1
742,61,17,69,1
743,68,36,33,1
744,83,72,16,1
745,35,91,50,1
746,24,9,77,1
747,87,23,65,1
748,18,16,43,0
749,69,65,44,1
750,46,64,8,0
751,3,7,79,1
752,43,92,25,1
753,75,33,79,1
754,77,99,93,1
755,95,68,55,1
756,88,16,38,1
757,36,34,78,1
758,72,62,68,1
759,42,99,42,1
760,32,67,97,1
761,60,31,34,1
762,94,93,95,1
763,10,86,87,1
764,84,32,38,1
765,19,12,39,0
766,26,19,23,0
767,15,94,70,1
768,70,7,62,1
769,4,29,81,1
770,39,83,63,1
771,37,27,6,0
772,81,60,51,1
773,95,78,3,1
774,24,24,4,0
775,89,44,6,0
776,6,14,4,0
777,21,10,14,0
778,59,83,44,1
779,82,73,48,1
780,2,88,17,1
781,11,2,48,0
782,36,69,95,1
783,80,29,70,1
784,72,59,64,1
785,53,6,29,0
786,96,88,56,1
787,57,82,16,1
788,52,23,24,0
789,42,12,95,1
790,70,87,18,1
791,50,17,69,1
792,36,74,37,1
793,16,8,47,0
794,26,68,26,1
795,66,66,9,1
796,61,21,71,1
797,28,68,96,1
798,69,5,54,1
799,71,96,25,1
800,25,22,42,0
801,37,89,32,1
802,89,39,50,1
803,23,35,13,0
804,84,1,62,1
805,89,6,33,0
806,71,49,86,1
807,26,94,88,1
808,9,99,49,1
809,39,29,87,1
810,56,56,24,1
811,50,64,42,1
812,91,76,88,1
813,88,3,42,0
814,27,34,43,1
815,3,92,75,1
816,93,43,91,1
817,9,67,57,1
818,90,98,22,1
819,6,28,99,1
820,56,57,77,1
821,38,45,31,1
822,37,62,91,1
823,82,30,30,1
824,18,87,80,1
825,70,21,9,0
826,89,41,60,1
827,59,68,42,1
828,20,96,75,1
829,19,84,1,0
830,54,35,84,1
831,85,11,75,1
832,99,52,61,1
833,73,21,97,1
834,35,89,81,1
835,20,6,19,0
836,87,32,85,1
837,21,6,89,1
838,23,44,39,1
839,56,68,14,1
840,29,71,32,1
841,5,82,35,1
842,86,73,61,1
843,64,31,57,1
844,42,75,83,1
845,64,78,8,1
846,96,73,69,1
847,53,97,6,1
848,2,81,33,1
849,13,31,71,1
850,77,74,46,1
851,83,50,45,1
852,86,32,44,1
853,40,37,44,1
854,46,76,80,1
855,12,6,70,1
856,10,43,85,1
857,46,93,37,1
858,12,24,75,1
859,70,64,24,1
860,38,60,82,1
861,76,48,55,1
862,71,69,96,1
863,57,54,12,0
864,38,45,4,0
865,38,25,38,0
866,35,83,89,1
867,65,65,19,1
868,70,39,28,1
869,68,24,16,0
870,34,4,56,0
871,90,60,35,1
872,48,20,52,1
873,21,32,60,1
874,90,58,88,1
875,67,70,71,1
876,25,49,67,1
877,60,98,77,1
878,27,15,69,1
879,49,99,62,1
880,37,93,31,1
881,49,78,90,1
882,63,9,33,0
883,30,89,11,1
884,25,33,53,1
885,76,8,93,1
886,66,77,58,1
887,35,76,59,1
888,24,71,77,1
889,13,25,75,1
890,65,28,51,1
891,21,43,43,1
892,12,45,93,1
893,15,13,28,0
894,77,57,73,1
895,91,34,6,0
896,89,71,91,1
897,67,69,26,1
898,19,53,66,1
899,9,53,14,0
900,22,17,96,1
901,77,52,93,1
902,92,11,57,1
903,69,30,87,1
904,16,34,79,1
905,14,43,1,0
906,17,28,45,0
907,22,11,74,1
908,93,9,60,1
909,92,18,51,1
910,91,62,97,1
911,35,31,73,1
912,47,22,83,1
913,24,39,32,0
914,44,33,81,1
915,40,18,46,0
916,61,54,63,1
917,12,39,59,1
918,48,44,67,1
919,36,17,19,0
920,43,36,98,1
921,14,15,97,1
922,70,60,84,1
923,97,72,73,1
924,83,75,9,1
925,65,94,70,1
926,34,64,43,1
927,16,65,21,0
928,67,99,33,1
929,63,36,27,0
930,60,94,31,1
931,87,30,81,1
932,46,2,44,0
933,85,32,9,0
934,70,58,35,1
935,89,88,22,1
936,63,65,61,1
937,12,54,25,0
938,52,78,30,1
939,17,6,18,0
940,71,57,52,1
941,16,10,23,0
942,47,47,86,1
943,84,49,48,1
944,32,27,39,0
945,30,53,91,1
946,89,54,92,1
947,10,1,67,0
948,89,94,28,1
949,70,21,58,1
950,83,73,8,1
951,99,76,29,1
952,55,86,39,1
953,38,92,27,1
954,16,12,90,1
955,48,37,14,0
956,87,5,16,0
957,71,54,88,1
958,30,63,60,1
959,55,25,6,0
960,56,63,94,1
961,88,5,26,0
962,84,41,40,1
963,86,94,56,1
964,69,45,8,0
965,22,48,86,1
966,15,55,26,0
967,83,12,16,0
968,57,83,59,1
969,90,46,44,1
970,93,69,63,1
971,83,82,2,1
972,38,5,53,0
973,77,89,81,1
974,39,45,69,1
975,80,57,66,1
976,13,83,82,1
977,17,81,10,0
978,91,28,27,1
979,12,76,84,1
980,83,83,60,1
981,30,48,4,0
982,32,57,56,1
983,8,4,38,0
984,6,81,55,1
985,92,71,37,1
986,23,92,89,1
987,97,32,69,1
988,21,97,29,1
989,3,52,44,1
990,78,77,46,1
991,62,62,96,1
992,4,15,69,1
993,51,79,67,1
994,37,75,44,1
995,61,61,64,1
996,72,76,5,1
997,3,61,61,1
998,9,50,46,1
999,54,25,66,1
1000,58,76,17,1
1001,64,78,21,1
1002,38,64,19,1
1003,31,10,2,0
1004,42,69,71,1
1005,51,78,64,1
1006,77,66,89,1
1007,50,7,9,0
1008,71,74,89,1
1009,13,35,50,1
1010,73,44,40,1
1011,95,69,43,1
1012,92,55,79,1
1013,78,75,34,1
1014,17,73,71,1
1015,63,10,42,0
1016,31,85,7,1
1017,8,81,42,1
1018,21,66,15,0
1019,13,34,71,1
1020,53,3,6,0
1021,99,4,37,0
1022,25,43,9,0
1023,83,30,93,1
1024,44,90,64,1
1025,17,6,73,1
1026,59,73,62,1
1027,71,90,96,1
1028,10,6,14,0
1029,4,97,83,1
1030,80,16,56,1
1031,36,62,71,1
1032,40,35,69,1
1033,29,11,57,1
1034,93,43,66,1
1035,69,16,96,1
1036,38,53,53,1
1037,41,84,77,1
1038,7,52,99,1
1039,76,28,54,1
1040,41,84,83,1
1041,83,27,21,0
1042,80,88,58,1
1043,3,92,15,1
1044,66,37,2,0
1045,64,63,7,0
1046,92,78,84,1
1047,27,1,45,0
1048,8,65,29,1
1049,18,53,80,1
1050,11,31,75,1
1051,20,42,97,1
1052,45,38,42,1
1053,85,81,61,1
1054,45,73,16,1
1055,28,26,60,1
1056,88,79,83,1
1057,58,14,83,1
1058,42,81,18,1
1059,59,57,57,1
1060,60,39,29,1
1061,26,74,81,1
1062,60,9,49,1
1063,44,8,90,1
1064,33,67,81,1
1065,39,92,55,1
1066,29,78,24,1
1067,14,91,79,1
1068,57,23,38,0
1069,55,92,25,1
1070,14,87,14,1
1071,33,68,30,1
1072,63,18,73,1
1073,83,14,62,1
1074,65,41,46,1
1075,9,68,4,0
1076,76,52,46,1
1077,99,77,96,1
1078,22,13,32,0
1079,11,38,69,1
1080,16,70,71,1
1081,82,26,40,1
1082,24,87,82,1
1083,8,55,38,1
1084,5,77,98,1
1085,2,58,35,1
1086,55,49,9,0
1087,30,99,52,1
1088,67,71,90,1
1089,28,45,16,0
1090,66,2,84,1
1091,43,8,8,0
1092,95,91,29,1
1093,13,72,29,1
1094,74,89,7,1
1095,62,59,52,1
1096,74,42,82,1
1097,60,21,20,0
1098,9,76,13,0
1099,13,96,65,1
1100,7,2,44,0
1101,43,71,53,1
1102,44,51,76,1
1103,18,37,19,0
1104,13,82,42,1
1105,60,31,97,1
1106,99,28,87,1
1107,41,17,15,0
1108,3,72,72,1
1109,99,79,5,1
1110,21,59,74,1
1111,3,69,48,1
1112,89,4,84,1
1113,42,20,64,1
1114,92,72,80,1
1115,99,96,38,1
1116,12,91,80,1
1117,21,58,31,1
1118,85,83,48,1
1119,43,18,14,0
1120,73,45,3,0
1121,5,55,63,1
1122,95,12,55,1
1123,92,73,45,1
1124,43,10,97,1
1125,63,99,39,1
1126,29,1,58,0
1127,90,14,18,0
1128,78,45,60,1
1129,39,97,90,1
1130,62,96,92,1
1131,76,72,61,1
1132,56,85,27,1
1133,20,74,13,0
1134,80,58,20,1
1135,17,4,82,1
1136,56,47,89,1
1137,76,11,60,1
1138,44,53,36,1
1139,51,58,5,0
1140,3,45,53,1
1141,65,64,96,1
1142,83,96,1,1
1143,91,55,63,1
1144,19,74,5,0
1145,72,38,1,0
1146,32,96,18,1
1147,31,16,8,0
1148,95,59,22,1
1149,81,19,68,1
1150,1,39,24,0
1151,94,55,88,1
1152,92,54,66,1
1153,19,83,93,1
1154,14,6,63,0
1155,33,68,44,1
1156,96,95,74,1
1157,92,5,61,1
1158,81,18,15,0
1159,52,71,58,1
1160,8,18,57,0
1161,75,95,92,1
1162,66,98,56,1
1163,3,3,17,0
1164,97,41,62,1
1165,18,36,81,1
1166,15,27,74,1
1167,3,17,12,0
1168,6,73,6,0
1169,88,68,24,1
1170,30,98,28,1
1171,41,4,40,0
1172,78,4,9,0
1173,28,97,2,1
1174,25,77,29,1
1175,49,85,3,1
1176,26,70,47,1
1177,5,58,7,0
1178,5,67,83,1
1179,76,19,3,0
1180,11,18,70,1
1181,95,90,87,1
1182,74,20,38,1
1183,61,68,62,1
1184,95,12,87,1
1185,13,77,4,0
1186,83,68,21,1
1187,48,1,43,0
1188,89,6,63,1
1189,87,45,61,1
1190,90,79,36,1
1191,6,49,27,0
1192,56,31,50,1
1193,4,94,86,1
1194,69,13,40,0
1195,55,5,39,0
1196,5,23,10,0
1197,15,6,32,0
1198,94,59,22,1
1199,32,5,20,0
1200,87,1,15,0
1201,73,53,19,1
1202,20,8,42,0
1203,82,79,24,1
1204,49,31,88,1
1205,51,53,49,1
1206,41,91,17,1
1207,65,64,50,1
1208,52,5,21,0
1209,49,7,83,1
1210,4,1,42,0
1211,54,5,79,1
1212,61,36,21,0
1213,45,37,38,1
1214,6,62,57,1
1215,92,50,51,1
1216,22,94,30,1
1217,37,17,34,0
1218,2,64,36,1
1219,66,43,50,1
1220,37,18,76,1
1221,85,23,86,1
1222,43,24,31,0
1223,21,42,55,1
1224,13,16,96,1
1225,36,1,41,0
1226,70,83,29,1
1227,19,61,74,1
1228,30,12,58,1
1229,40,55,1,0
1230,44,51,55,1
1231,26,33,86,1
1232,40,19,67,1
1233,27,35,76,1
1234,88,59,40,1
1235,53,66,19,1
1236,12,7,12,0
1237,77,9,23,0
1238,26,75,85,1
1239,19,84,98,1
1240,23,76,65,1
1241,84,4,39,0
1242,29,74,81,1
1243,17,2,2,0
1244,96,71,54,1
1245,97,92,45,1
1246,51,12,48,0
1247,21,11,73,1
1248,97,53,39,1
1249,60,93,34,1
1250,73,26,88,1
1251,73,94,31,1
1252,59,16,56,1
1253,74,5,17,0
1254,57,16,10,0
1255,55,49,98,1
1256,48,20,76,1
1257,47,51,34,1
1258,45,10,29,0
1259,64,15,80,1
1260,70,30,99,1
1261,50,7,44,0
1262,94,24,30,1
1263,37,92,39,1
1264,99,56,82,1
1265,47,10,23,0
1266,32,88,86,1
1267,81,36,63,1
1268,92,43,59,1
1269,62,71,42,1
1270,56,86,19,1
1271,61,83,18,1
1272,26,48,59,1
1273,35,69,99,1
1274,14,20,54,0
1275,7,63,26,0
1276,56,98,33,1
1277,30,63,63,1
1278,3,56,84,1
1279,26,56,3,0
1280,77,39,2,0
1281,50,92,54,1
1282,38,76,93,1
1283,51,11,27,0
1284,15,7,72,1
1285,74,8,76,1
1286,40,80,2,0
1287,98,59,57,1
1288,29,94,33,1
1289,41,25,54,1
1290,34,39,41,1
1291,59,12,41,0
1292,98,55,75,1
1293,77,40,81,1
1294,74,86,84,1
1295,30,46,80,1
1296,30,10,53,0
1297,75,13,53,1
1298,27,65,73,1
1299,53,19,25,0
1300,7,84,7,0
1301,23,59,41,1
1302,75,91,78,1
1303,97,62,75,1
1304,96,24,96,1
1305,2,6,57,0
1306,28,24,52,1
1307,36,49,70,1
1308,85,38,7,0
1309,32,66,58,1
1310,58,95,99,1
1311,39,19,18,0
1312,80,58,66,1
1313,82,69,7,1
1314,31,71,6,0
1315,2,61,57,1
1316,57,30,45,1
1317,44,19,23,0
1318,60,96,96,1
1319,73,51,74,1
1320,12,32,21,0
1321,81,98,90,1
1322,61,86,21,1
1323,92,45,74,1
1324,15,3,93,1
1325,68,8,7,0
1326,54,31,24,0
1327,92,95,83,1
1328,99,69,29,1
1329,89,26,27,1
1330,78,95,73,1
1331,97,45,55,1
1332,24,82,26,1
1333,36,18,60,1
1334,21,39,22,0
1335,6,86,22,1
1336,34,18,93,1
1337,95,31,72,1
1338,1,67,1,0
1339,68,80,9,1
1340,84,76,85,1
1341,84,56,51,1
1342,30,64,13,0
1343,53,67,81,1
1344,19,29,20,0
1345,46,4,32,0
1346,94,33,94,1
1347,58,56,27,1
1348,34,70,59,1
1349,48,54,55,1
1350,47,99,22,1
1351,69,33,47,1
1352,87,2,20,0
1353,24,13,35,0
1354,87,9,85,1
1355,94,70,64,1
1356,77,21,47,1
1357,14,95,30,1
1358,4,41,63,1
1359,85,31,23,0
